difficulty_scenario,examiner_scenario,metric,scenario,mean_rate,sd_rate,q025,q975,true_rate,ratio_to_truth,n_studies
High,High,FNR,"Convenience sample (""reweighted"")",0.004104927775465625,0.00272557133447712,0,0.009707649538158017,0.03925925925925926,0.10455948107318103,200
High,High,FNR,Convenience sample (naive),0.003646879907533572,0.002401085040945469,0,0.00939884556463379,0.03925925925925926,0.09289222405981741,200
High,High,FNR,Full-coverage study (reweighted),0.04482409329255068,0.013960149752457383,0.018433405923621308,0.07494989738217901,0.03925925925925926,1.1417457725461022,200
High,High,FNR,"Random pair (""reweighted"")",0.043725849159899355,0.027685087764213266,0.00273330899569556,0.10128589297203504,0.03925925925925926,1.1137716295446063,200
High,High,FNR,Random pair (naive),0.04722566065047417,0.02854649527595551,0.002602021357742182,0.10469624137743742,0.03925925925925926,1.202917771285663,200
High,High,FPR,"Convenience sample (""reweighted"")",0.00241020884443769,0.0019222699394786944,0,0.00644318228587892,0.024640657084188913,0.09781430893676292,200
High,High,FPR,Convenience sample (naive),0.002132968755448038,0.001674924210060159,0,0.005478476994014095,0.024640657084188913,0.08656298199193288,200
High,High,FPR,Full-coverage study (reweighted),0.027277499859803624,0.010877043413280128,0.010318295737923134,0.0511779624523478,0.024640657084188913,1.1070118693103637,200
High,High,FPR,"Random pair (""reweighted"")",0.026115309688167283,0.017645748352779496,9.518385942076151e-4,0.060338967847015104,0.024640657084188913,1.0598463181781221,200
High,High,FPR,Random pair (naive),0.028574623271182372,0.018064877217571437,0.0012373096446700513,0.0674334639983495,0.024640657084188913,1.1596534610888178,200
High,Low,FNR,"Convenience sample (""reweighted"")",0.0030355619131866556,0.0024539969345272004,0,0.008772980702092049,0.038895463510848126,0.07804411206823704,200
High,Low,FNR,Convenience sample (naive),0.002692768909167562,0.002167175843926826,0,0.007207838160295706,0.038895463510848126,0.06923092479452099,200
High,Low,FNR,Full-coverage study (reweighted),0.03782900742707439,0.012548413576210017,0.017739540804270103,0.06944652864074395,0.038895463510848126,0.9725814789820849,200
High,Low,FNR,"Random pair (""reweighted"")",0.03768144612070201,0.024103881296596297,0.0029889416953996217,0.09203567420438477,0.038895463510848126,0.968787686774641,200
High,Low,FNR,Random pair (naive),0.04217569686685082,0.025775815630518225,0.0026719713775095093,0.09181207992010441,0.038895463510848126,1.0843345999743086,200
High,Low,FPR,"Convenience sample (""reweighted"")",0.0017026876879948163,0.0017245826923293105,0,0.005878173455210378,0.01764705882352941,0.0964856356530396,200
High,Low,FPR,Convenience sample (naive),0.0014964020666200556,0.0015059848771103424,0,0.005215635815067885,0.01764705882352941,0.08479611710846982,200
High,Low,FPR,Full-coverage study (reweighted),0.02177119699115901,0.00877455871710928,0.007600842800129916,0.040947444204118014,0.01764705882352941,1.2337011628323438,200
High,Low,FPR,"Random pair (""reweighted"")",0.02299900446096404,0.01574153714861585,0.001537899133859419,0.05742539326766282,0.01764705882352941,1.303276919454629,200
High,Low,FPR,Random pair (naive),0.025801292740523177,0.017006015931822934,0.0013670340105364264,0.061432047477744826,0.01764705882352941,1.4620732552963134,200
High,Medium,FNR,"Convenience sample (""reweighted"")",0.0029216192929508874,0.0022704389030631777,0,0.008511153980126756,0.04560669456066946,0.06406119367112496,200
High,Medium,FNR,Convenience sample (naive),0.0025812150703413347,0.0020180157728834493,0,0.007644290759030151,0.04560669456066946,0.05659728456986963,200
High,Medium,FNR,Full-coverage study (reweighted),0.03764151482994419,0.012676857502683346,0.013966774985311068,0.06824725917032741,0.04560669456066946,0.8253506462712533,200
High,Medium,FNR,"Random pair (""reweighted"")",0.038066103956586606,0.024085840277962307,0.001867804646752015,0.08565677303812899,0.04560669456066946,0.8346604445526787,200
High,Medium,FNR,Random pair (naive),0.04249984259235862,0.027000334088057326,0.001390063674983206,0.09546194442831989,0.04560669456066946,0.9318772825296983,200
High,Medium,FPR,"Convenience sample (""reweighted"")",0.0016891612027227537,0.0015628681635322548,0,0.005073755073755074,0.028505747126436783,0.05925686477293531,200
High,Medium,FPR,Convenience sample (naive),0.0015057934459976002,0.001387662663373739,0,0.004254666632942131,0.028505747126436783,0.0528242055652384,200
High,Medium,FPR,Full-coverage study (reweighted),0.023530996365830222,0.009053326457711838,0.00880668858918859,0.040864943759300165,0.028505747126436783,0.8254825338013021,200
High,Medium,FPR,"Random pair (""reweighted"")",0.023350591211534488,0.015779991746433335,0.001060551124002901,0.0540450237216279,0.028505747126436783,0.8191538045981857,200
High,Medium,FPR,Random pair (naive),0.025879227511546726,0.017214423559154934,0.0011846901579586882,0.059511564716018296,0.028505747126436783,0.907859997380873,200
Low,High,FNR,"Convenience sample (""reweighted"")",0.00938555149688639,0.004068530237338969,0.0024719929216576457,0.017982303777234657,0.02731060606060606,0.34365958324244206,200
Low,High,FNR,Convenience sample (naive),0.008839469109143933,0.003772590981551033,0.0025804790966081287,0.01704195184699772,0.02731060606060606,0.323664333538696,200
Low,High,FNR,Full-coverage study (reweighted),0.023690466048240304,0.008694034568199793,0.010486914120273349,0.04335328700973513,0.02731060606060606,0.8674456361630292,200
Low,High,FNR,"Random pair (""reweighted"")",0.022590720734674562,0.010442207948684496,0.006625979409734866,0.04111650661845499,0.02731060606060606,0.8271775692030631,200
Low,High,FNR,Random pair (naive),0.023573780051751578,0.009949441786193596,0.0071810551558753,0.041975318741464214,0.02731060606060606,0.8631730837257167,200
Low,High,FPR,"Convenience sample (""reweighted"")",0.005348334018946844,0.0029213218434082804,0,0.011708956615858307,0.014957627118644068,0.3575656737879476,200
Low,High,FPR,Convenience sample (naive),0.005027029686021394,0.002715536590378368,0,0.010687760376691677,0.014957627118644068,0.3360847042212603,200
Low,High,FPR,Full-coverage study (reweighted),0.013150003488063531,0.005901294248143952,0.003470691403211964,0.02651389710946335,0.014957627118644068,0.8791503748393749,200
Low,High,FPR,"Random pair (""reweighted"")",0.012868848911209887,0.006415463117057299,0.0037703287989477928,0.02759508484587383,0.014957627118644068,0.860353638256525,200
Low,High,FPR,Random pair (naive),0.013569919066872535,0.0062631305745383045,0.004193228326925462,0.028180197989378434,0.014957627118644068,0.9072240509297219,200
Low,Low,FNR,"Convenience sample (""reweighted"")",0.006220460775752722,0.0031765687320979164,9.855121293800542e-4,0.013147215227985684,0.014077079107505072,0.44188575827753485,200
Low,Low,FNR,Convenience sample (naive),0.005831926666953514,0.0029315669973796112,0.0012516046213093715,0.012605927202341612,0.014077079107505072,0.4142852805198966,200
Low,Low,FNR,Full-coverage study (reweighted),0.0165393606784976,0.005756971419797264,0.006387792095903257,0.0283806574052305,0.014077079107505072,1.174914238400478,200
Low,Low,FNR,"Random pair (""reweighted"")",0.015938397070562046,0.008458991761129608,0.003919319999062915,0.03446348114244185,0.014077079107505072,1.1322233077503008,200
Low,Low,FNR,Random pair (naive),0.0165098039217987,0.008070802502751702,0.0038509677100819592,0.03347397209041397,0.014077079107505072,1.1728146013612044,200
